code,name,level
CI005252.WI,日用化学品(中信),3
CI005253.WI,民爆用品(中信),3
CI005254.WI,涂料涂漆(中信),3
CI005255.WI,印染化学品(中信),3
CI005256.WI,其他化学制品(中信),3
CI005257.WI,建筑施工Ⅲ(中信),3
CI005258.WI,建筑装修Ⅲ(中信),3
CI005259.WI,水泥Ⅲ(中信),3
CI005260.WI,玻璃Ⅲ(中信),3
CI005261.WI,陶瓷(中信),3
CI005262.WI,新型建材及非金属新材料(中信),3
CI005263.WI,造纸Ⅲ(中信),3
CI005264.WI,印刷(中信),3
CI005265.WI,包装(中信),3
CI005266.WI,其他轻工Ⅲ(中信),3
CI005267.WI,工程机械Ⅲ(中信),3
CI005268.WI,矿山冶金机械(中信),3
CI005269.WI,纺织服装机械(中信),3
CI005270.WI,其他专用机械(中信),3
CI005271.WI,锅炉设备(中信),3
CI005272.WI,机床设备(中信),3
CI005273.WI,起重运输设备(中信),3
CI005274.WI,基础件(中信),3
CI005275.WI,其他通用机械(中信),3
CI005276.WI,铁路交通设备(中信),3
CI005277.WI,船舶制造(中信),3
CI005278.WI,其他运输设备(中信),3
CI005279.WI,仪器仪表Ⅲ(中信),3
CI005280.WI,金属制品Ⅲ(中信),3
CI005281.WI,电站设备Ⅲ(中信),3
CI005282.WI,一次设备(中信),3
CI005283.WI,二次设备(中信),3
CI005284.WI,风电(中信),3
CI005285.WI,核电(中信),3
CI005286.WI,光伏(中信),3
CI005287.WI,航空军工(中信),3
CI005288.WI,航天军工(中信),3
CI005289.WI,兵器兵装Ⅲ(中信),3
CI005290.WI,其他军工Ⅲ(中信),3
CI005291.WI,乘用车Ⅲ(中信),3
CI005292.WI,卡车(中信),3
CI005293.WI,客车(中信),3
CI005294.WI,专用汽车(中信),3
CI005295.WI,汽车零部件Ⅲ(中信),3
CI005296.WI,汽车销售及服务Ⅲ(中信),3
CI005297.WI,摩托车及其他Ⅲ(中信),3
CI005298.WI,百货(中信),3
CI005299.WI,超市(中信),3
CI005300.WI,连锁(中信),3
CI005301.WI,贸易Ⅲ(中信),3
CI005302.WI,景区(中信),3
CI005303.WI,旅行社(中信),3
CI005304.WI,酒店(中信),3
CI005305.WI,餐饮(中信),3
CI005306.WI,白色家电Ⅲ(中信),3
CI005307.WI,黑色家电Ⅲ(中信),3
CI005308.WI,小家电Ⅲ(中信),3
CI005309.WI,照明设备(中信),3
CI005310.WI,其他家电(中信),3
CI005316.WI,化学原料药(中信),3
CI005317.WI,化学制剂(中信),3
CI005318.WI,中药饮片(中信),3
CI005319.WI,中成药(中信),3
CI005320.WI,生物医药Ⅲ(中信),3
CI005321.WI,医药流通(中信),3
CI005322.WI,医疗器械(中信),3
CI005323.WI,医疗服务(中信),3
CI005324.WI,白酒Ⅲ(中信),3
CI005325.WI,啤酒(中信),3
CI005326.WI,葡萄酒(中信),3
CI005327.WI,黄酒(中信),3
CI005328.WI,其他饮料Ⅲ(中信),3
CI005329.WI,肉制品(中信),3
CI005330.WI,调味品(中信),3
CI005331.WI,乳制品(中信),3
CI005332.WI,其他食品(中信),3
CI005333.WI,种子(中信),3
CI005334.WI,果蔬饮料(中信),3
CI005335.WI,农产品加工及流通(中信),3
CI005336.WI,饲料(中信),3
CI005337.WI,动物疫苗(中信),3
CI005338.WI,畜牧养殖(中信),3
CI005339.WI,林木及加工(中信),3
CI005340.WI,水产养殖(中信),3
CI005341.WI,海洋捕捞(中信),3
CI005342.WI,国有银行Ⅲ(中信),3
CI005343.WI,股份制银行(中信),3
CI005344.WI,城商行(中信),3
CI005345.WI,证券Ⅲ(中信),3
CI005346.WI,保险Ⅲ(中信),3
CI005347.WI,信托(中信),3
CI005348.WI,其他非银金融(中信),3
CI005349.WI,住宅地产(中信),3
CI005350.WI,商业地产(中信),3
CI005351.WI,园区(中信),3
CI005352.WI,房地产服务Ⅲ(中信),3
CI005353.WI,公路(中信),3
